window_index,subject_id,window_start_time,window_end_time,window_start_sec,window_end_sec
197,19,210,270,420.0,540.0
198,19,240,300,480.0,600.0
199,19,270,330,540.0,660.0
200,20,0,60,0.0,120.0
201,20,30,90,60.0,180.0
202,20,60,120,120.0,240.0
203,20,90,150,180.0,300.0
204,20,120,180,240.0,360.0
205,20,150,210,300.0,420.0
206,20,180,240,360.0,480.0
207,20,210,270,420.0,540.0
208,20,240,300,480.0,600.0
209,20,270,330,540.0,660.0
210,21,0,60,0.0,120.0
211,21,30,90,60.0,180.0
212,21,60,120,120.0,240.0
213,21,90,150,180.0,300.0
214,21,120,180,240.0,360.0
215,21,150,210,300.0,420.0
216,21,180,240,360.0,480.0
217,21,210,270,420.0,540.0
218,21,240,300,480.0,600.0
219,21,270,330,540.0,660.0
220,22,0,60,0.0,120.0
221,22,30,90,60.0,180.0
222,22,60,120,120.0,240.0
223,22,90,150,180.0,300.0
224,22,120,180,240.0,360.0
225,22,150,210,300.0,420.0
226,22,180,240,360.0,480.0
227,22,210,270,420.0,540.0
228,22,240,300,480.0,600.0
229,22,270,330,540.0,660.0
230,23,0,60,0.0,120.0
231,23,30,90,60.0,180.0
232,23,60,120,120.0,240.0
233,23,90,150,180.0,300.0
234,23,120,180,240.0,360.0
235,23,150,210,300.0,420.0
236,23,180,240,360.0,480.0
237,23,210,270,420.0,540.0
238,23,240,300,480.0,600.0
239,23,270,330,540.0,660.0
240,24,0,60,0.0,120.0
241,24,30,90,60.0,180.0
242,24,60,120,120.0,240.0
243,24,90,150,180.0,300.0
244,24,120,180,240.0,360.0
245,24,150,210,300.0,420.0
246,24,180,240,360.0,480.0
247,24,210,270,420.0,540.0
248,24,240,300,480.0,600.0
249,24,270,330,540.0,660.0
250,25,0,60,0.0,120.0
251,25,30,90,60.0,180.0
252,25,60,120,120.0,240.0
253,25,90,150,180.0,300.0
254,25,120,180,240.0,360.0
255,25,150,210,300.0,420.0
256,25,180,240,360.0,480.0
257,25,210,270,420.0,540.0
258,25,240,300,480.0,600.0
259,25,270,330,540.0,660.0
260,26,0,60,0.0,120.0
261,26,30,90,60.0,180.0
262,26,60,120,120.0,240.0
263,26,90,150,180.0,300.0
264,26,120,180,240.0,360.0
265,26,150,210,300.0,420.0
266,26,180,240,360.0,480.0
267,26,210,270,420.0,540.0
268,26,240,300,480.0,600.0
269,26,270,330,540.0,660.0
270,27,0,60,0.0,120.0
271,27,30,90,60.0,180.0
272,27,60,120,120.0,240.0
273,27,90,150,180.0,300.0
274,27,120,180,240.0,360.0
275,27,150,210,300.0,420.0
276,27,180,240,360.0,480.0
277,27,210,270,420.0,540.0
278,27,240,300,480.0,600.0
279,27,270,330,540.0,660.0
280,28,0,60,0.0,120.0
281,28,30,90,60.0,180.0
282,28,60,120,120.0,240.0
283,28,90,150,180.0,300.0
284,28,120,180,240.0,360.0
285,28,150,210,300.0,420.0
286,28,180,240,360.0,480.0
287,28,210,270,420.0,540.0
288,28,240,300,480.0,600.0
289,28,270,330,540.0,660.0
290,29,0,60,0.0,120.0
291,29,30,90,60.0,180.0
292,29,60,120,120.0,240.0
293,29,90,150,180.0,300.0
294,29,120,180,240.0,360.0
295,29,150,210,300.0,420.0
